Category,scheme_name,scheme_url,scheme_pr_url
Sectoral/Thematic,Baroda BNP Paribas Business Cycle Fund - Direct Plan - Growth,https://www.moneycontrol.com/mutual-funds/nav/baroda-bnp-paribas-business-cycle-fund-direct-plan-growth/MBO271,https://www.moneycontrol.com/mutual-funds/baroda-bnp-paribas-business-cycle-fund-direct-plan-growth/MBO271/portfolio-overview/MBO271
ELSS,Nippon India ELSS Tax Saver Fund - Growth,https://www.moneycontrol.com/mutual-funds/nav/nippon-india-elss-tax-saver-fund-growth/MRC101,https://www.moneycontrol.com/mutual-funds/nippon-india-elss-tax-saver-fund-growth/MRC101/portfolio-overview/MRC101
ELSS,Quant ELSS Tax Saver Fund - Direct Plan - Growth,https://www.moneycontrol.com/mutual-funds/nav/quant-elss-tax-saver-fund-direct-plan-growth/MES037,https://www.moneycontrol.com/mutual-funds/quant-elss-tax-saver-fund-direct-plan-growth/MES037/portfolio-overview/MES037
Flexi Cap Fund,DSP Flexi Cap Fund - Direct Plan - Growth,https://www.moneycontrol.com/mutual-funds/nav/dsp-flexi-cap-fund-direct-plan-growth/MDS590,https://www.moneycontrol.com/mutual-funds/dsp-flexi-cap-fund-direct-plan-growth/MDS590/portfolio-overview/MDS590
Large & Mid Cap Fund,Canara Robeco Large and Mid Cap Fund - Direct Plan - Growth,https://www.moneycontrol.com/mutual-funds/nav/canara-robeco-large-and-mid-cap-fund-direct-plan-growth/MCA205,https://www.moneycontrol.com/mutual-funds/canara-robeco-large-and-mid-cap-fund-direct-plan-growth/MCA205/portfolio-overview/MCA205
Focused Fund,Quant Focused Fund - Direct Plan - Growth,https://www.moneycontrol.com/mutual-funds/nav/quant-focused-fund-direct-plan-growth/MES049,https://www.moneycontrol.com/mutual-funds/quant-focused-fund-direct-plan-growth/MES049/portfolio-overview/MES049
Small Cap Fund,Kotak Small Cap Fund - Growth,https://www.moneycontrol.com/mutual-funds/nav/kotak-small-cap-fund-growth/MKM073,https://www.moneycontrol.com/mutual-funds/kotak-small-cap-fund-growth/MKM073/portfolio-overview/MKM073
Sectoral/Thematic,Aditya Birla Sun Life Banking and Financial Services Fund - Direct Plan - Growth,https://www.moneycontrol.com/mutual-funds/nav/aditya-birla-sun-life-banking-and-financial-services-fund-direct-plan-growth/MBS1453,https://www.moneycontrol.com/mutual-funds/aditya-birla-sun-life-banking-and-financial-services-fund-direct-plan-growth/MBS1453/portfolio-overview/MBS1453
ELSS,Mirae Asset ELSS Tax Saver Fund - Direct Plan - Growth,https://www.moneycontrol.com/mutual-funds/nav/mirae-asset-elss-tax-saver-fund-direct-plan-growth/MMA150,https://www.moneycontrol.com/mutual-funds/mirae-asset-elss-tax-saver-fund-direct-plan-growth/MMA150/portfolio-overview/MMA150
Sectoral/Thematic,SBI Consumption Opportunities Fund - Direct Plan - Growth,https://www.moneycontrol.com/mutual-funds/nav/sbi-consumption-opportunities-fund-direct-plan-growth/MSB524,https://www.moneycontrol.com/mutual-funds/sbi-consumption-opportunities-fund-direct-plan-growth/MSB524/portfolio-overview/MSB524
Sectoral/Thematic,ICICI Prudential Quant Fund - Direct Plan - Growth,https://www.moneycontrol.com/mutual-funds/nav/icici-prudential-quant-fund-direct-plan-growth/MPI4492,https://www.moneycontrol.com/mutual-funds/icici-prudential-quant-fund-direct-plan-growth/MPI4492/portfolio-overview/MPI4492
Sectoral/Thematic,Mirae Asset Banking and Financial Services Fund - Growth,https://www.moneycontrol.com/mutual-funds/nav/mirae-asset-banking-and-financial-services-fund-growth/MMA209,https://www.moneycontrol.com/mutual-funds/mirae-asset-banking-and-financial-services-fund-growth/MMA209/portfolio-overview/MMA209
Multi Asset Allocation,Nippon India Multi Asset Allocation Fund - Growth,https://www.moneycontrol.com/mutual-funds/nav/nippon-india-multi-asset-allocation-fund-growth/MRC2856,https://www.moneycontrol.com/mutual-funds/nippon-india-multi-asset-allocation-fund-growth/MRC2856/portfolio-overview/MRC2856
ELSS,Edelweiss ELSS Tax saver Fund - Direct Plan - Growth,https://www.moneycontrol.com/mutual-funds/nav/edelweiss-elss-tax-saver-fund-direct-plan-growth/MEW088,https://www.moneycontrol.com/mutual-funds/edelweiss-elss-tax-saver-fund-direct-plan-growth/MEW088/portfolio-overview/MEW088
Sectoral/Thematic,SBI COMMA Fund - Direct Plan - Growth,https://www.moneycontrol.com/mutual-funds/nav/sbi-comma-fund-direct-plan-growth/MSB513,https://www.moneycontrol.com/mutual-funds/sbi-comma-fund-direct-plan-growth/MSB513/portfolio-overview/MSB513
Sectoral/Thematic,ICICI Prudential Bharat Consumption Fund - Direct Plan - Growth,https://www.moneycontrol.com/mutual-funds/nav/icici-prudential-bharat-consumption-fund-direct-plan-growth/MPI4311,https://www.moneycontrol.com/mutual-funds/icici-prudential-bharat-consumption-fund-direct-plan-growth/MPI4311/portfolio-overview/MPI4311
Large & Mid Cap Fund,Bank of India Large & Mid Cap Fund - Eco Plan - Growth,https://www.moneycontrol.com/mutual-funds/nav/bank-of-india-large-mid-cap-fund-eco-plan-growth/MBA028,https://www.moneycontrol.com/mutual-funds/bank-of-india-large-mid-cap-fund-eco-plan-growth/MBA028/portfolio-overview/MBA028
Sectoral/Thematic,Sundaram Consumption Fund - Direct Plan - Growth,https://www.moneycontrol.com/mutual-funds/nav/sundaram-consumption-fund-direct-plan-growth/MSN574,https://www.moneycontrol.com/mutual-funds/sundaram-consumption-fund-direct-plan-growth/MSN574/portfolio-overview/MSN574
Flexi Cap Fund,Kotak Flexi Cap Fund - Growth,https://www.moneycontrol.com/mutual-funds/nav/kotak-flexi-cap-fund-growth/MKM311,https://www.moneycontrol.com/mutual-funds/kotak-flexi-cap-fund-growth/MKM311/portfolio-overview/MKM311
Flexi Cap Fund,Tata Flexi Cap Fund - Direct Plan - Growth,https://www.moneycontrol.com/mutual-funds/nav/tata-flexi-cap-fund-direct-plan-growth/MTA1327,https://www.moneycontrol.com/mutual-funds/tata-flexi-cap-fund-direct-plan-growth/MTA1327/portfolio-overview/MTA1327
ELSS,Invesco India ELSS Tax Saver Fund - Growth,https://www.moneycontrol.com/mutual-funds/nav/invesco-india-elss-tax-saver-fund-growth/MLI011,https://www.moneycontrol.com/mutual-funds/invesco-india-elss-tax-saver-fund-growth/MLI011/portfolio-overview/MLI011
Mid Cap Fund,UTI Mid Cap Fund - Growth,https://www.moneycontrol.com/mutual-funds/nav/uti-mid-cap-fund-growth/MUT063,https://www.moneycontrol.com/mutual-funds/uti-mid-cap-fund-growth/MUT063/portfolio-overview/MUT063
Focused Fund,Tata Focused Fund - Direct Plan - Growth,https://www.moneycontrol.com/mutual-funds/nav/tata-focused-fund-direct-plan-growth/MTA1357,https://www.moneycontrol.com/mutual-funds/tata-focused-fund-direct-plan-growth/MTA1357/portfolio-overview/MTA1357
Large Cap Fund,Baroda BNP Paribas Large Cap Fund - Direct Plan - Growth,https://www.moneycontrol.com/mutual-funds/nav/baroda-bnp-paribas-large-cap-fund-direct-plan-growth/MAB720,https://www.moneycontrol.com/mutual-funds/baroda-bnp-paribas-large-cap-fund-direct-plan-growth/MAB720/portfolio-overview/MAB720
Large & Mid Cap Fund,Axis Large & Mid Cap Fund - Growth,https://www.moneycontrol.com/mutual-funds/nav/axis-large-mid-cap-fund-growth/MAA800,https://www.moneycontrol.com/mutual-funds/axis-large-mid-cap-fund-growth/MAA800/portfolio-overview/MAA800
Large & Mid Cap Fund,Sundaram Large and Mid Cap Fund - Direct Plan - Growth,https://www.moneycontrol.com/mutual-funds/nav/sundaram-large-and-mid-cap-fund-direct-plan-growth/MSN553,https://www.moneycontrol.com/mutual-funds/sundaram-large-and-mid-cap-fund-direct-plan-growth/MSN553/portfolio-overview/MSN553
Sectoral/Thematic,ICICI Prudential Banking and Financial Services Fund - Direct Plan - Growth,https://www.moneycontrol.com/mutual-funds/nav/icici-prudential-banking-and-financial-services-fund-direct-plan-growth/MPI1138,https://www.moneycontrol.com/mutual-funds/icici-prudential-banking-and-financial-services-fund-direct-plan-growth/MPI1138/portfolio-overview/MPI1138
Dividend Yield Fund,Sundaram Dividend Yield Fund - Direct Plan - Growth,https://www.moneycontrol.com/mutual-funds/nav/sundaram-dividend-yield-fund-direct-plan-growth/MID300,https://www.moneycontrol.com/mutual-funds/sundaram-dividend-yield-fund-direct-plan-growth/MID300/portfolio-overview/MID300
Sectoral/Thematic,Mirae Asset Great Consumer Fund - Growth,https://www.moneycontrol.com/mutual-funds/nav/mirae-asset-great-consumer-fund-growth/MMA090,https://www.moneycontrol.com/mutual-funds/mirae-asset-great-consumer-fund-growth/MMA090/portfolio-overview/MMA090
Multi Cap Fund,Sundaram Multi Cap Fund - Growth,https://www.moneycontrol.com/mutual-funds/nav/sundaram-multi-cap-fund-growth/MID010,https://www.moneycontrol.com/mutual-funds/sundaram-multi-cap-fund-growth/MID010/portfolio-overview/MID010
Focused Fund,Kotak Focused Fund - Direct Plan - Growth,https://www.moneycontrol.com/mutual-funds/nav/kotak-focused-fund-direct-plan-growth/MKM1343,https://www.moneycontrol.com/mutual-funds/kotak-focused-fund-direct-plan-growth/MKM1343/portfolio-overview/MKM1343
Large Cap Fund,Bandhan Large Cap Fund - Direct Plan - Growth,https://www.moneycontrol.com/mutual-funds/nav/bandhan-large-cap-fund-direct-plan-growth/MAG725,https://www.moneycontrol.com/mutual-funds/bandhan-large-cap-fund-direct-plan-growth/MAG725/portfolio-overview/MAG725
